username,comment/reply,time,likes,isReply,stance
@YUGlMOTTO,"It took me from age 16 to 21 to even start in a career that fit me, and another 4 years to now being very successful. All it took was hard work and perseverance. I know plenty of people who were way smarter than me but just gave up way earlier. Of course success and money isn’t the most important thing and it’s not for everyone. But I prioritized and consistently put in the work and even showed up when I wanted to give. That’s how I got here. Now I’m working smarter but just as hard. It’s an S curve. Telling people to work smart not hard is inaccurate. Work hard and you’ll become smart eventually. But don’t think you can work smart without sacrifice and dedication. That’s a fools errand.",1 year ago,15,False,Pro
@KingJL25,"Super cool video. Thank you for making it.
It kinda reminds me of quote I read in a manga: ""someone who works hard, can never beat someone who enjoys himself"" 
Not that hard work in itself is problematic but the way it forms you into this ""just work hard to get there - machine"" mindset instead of beeing reasonable with your effort, knowing what u can do, pushing yourself a little bit and getting to a point where you actually enjoy these challenges. 
Your example with the 120h studying week reminded me of the recovery problem when it comes to gaining physical abilities. Just hard work is not gonna cut it, as u will burn out like a meteor if u only focus on the hard work. Some bodybuilder once said ""sleeping less to get more hours in the gym in is like jumping over 100 Dollar bills to pick up pennies"".
Imo consistency is everything even when it comes to failing and overcoming it. Bc that is probably THE key skill in life.",1 year ago,32,False,Neutral
@vector-mu2pb,But u have to depend on talented guys to not work hard to beat them 😶,1 year ago,250,True,Contra
@Kizerlk07,"In conclusion, beat your talent hard",1 year ago,169,True,Pro
@raena_scraps,What if talent also works hard😮 mai god,1 year ago,24,True,Pro
@Pain544,That's why you work your talent alongside working hard. It's to understand how to work alongside working hard. Intellect and ability matters and they can be developed. Awareness comes first.,1 year ago,12,True,Pro
@AC-ow5kx,Turns out the talent also works hard,1 year ago,23,True,Neutral
@pastorofmuppets9346,If talent works half ass theyll still likely come out on top,1 year ago,25,True,Contra
@jayotic2018, @sithumiperera5212  2016 ahh comment,1 year ago,3,True,Pro
@midknightmiddleman5887,Still doesn’t mean you can’t beat them,1 year ago,1,True,Pro
@michaeljakeem5009, @vector-mu2pb  he literally is saying that,1 year ago,1,True,Pro
@jaehparrk,"in your dreams. People think they can beat thousands of years of superior DNA with few years of ""hard work"" lol!!!",1 year ago,11,True,Contra
@mouthfulacoque3580,big agree,1 year ago,0,True,Pro
@Armando.Sepulveda,It also depends on the hardwork,1 year ago,0,True,Pro
@rileygshep7606,I think more of hard work + working smart,1 year ago,1,True,Pro
@fit-trovert3992, @Lilliana1  well then u must be Hardwork nice to meet you,1 year ago,0,True,Pro
@padrescott2047,"You put in 20,000 insufficient hours to my 10,000 sufficient hours and watch me beat you in anything",1 year ago,2,True,Pro
@arthurdirindinjr1792,"Damn
Couldn't possibly be better said",1 year ago,0,True,Pro
@philosophe2517,It's talent who works hard beats talent who doesn't work,1 year ago,0,True,Pro
@Salamander0111,The turtle did beat the rabbit in the race but that rarely happens. Talent wins every time.,1 year ago,0,True,Contra
@StrengthScholar0,No hard work beats talent when talent isn't completely lazy.,1 year ago,0,True,Contra
@kabangtasing8291,What if talent also work hard,1 year ago,0,True,Pro
@Dsksea,"Hard work beats talent if talent doesn’t work at all. 

But if the talented person puts a modicum of consistent effort every day then that person will out perform the hard worker.",1 year ago,1,True,Neutral
@sonofatlas1372,Exactly prime example Roy jones Jr and James Tony.,1 year ago,0,True,Pro
@clantixx., @terminallucidity  Guy named hardwork:😈,1 year ago,0,True,Pro
@Lilliana1," @fit-trovert3992  I am just work.
Hard is an adjective",1 year ago,0,True,Pro
@yougetaspear7799,👏🏿👏🏿👏🏿👏🏿,1 year ago,0,True,Pro
@kabangtasing8291,What if talent also works hard,1 year ago,0,True,Neutral
@kevinmurphy5878,"The glimmer of hope is a lot of people who have crazy natural talent over rely on it and and don't develop good habits, so a lot of times talent really doesn't work hard",1 year ago,0,True,Pro
@enderguy4284,Talent doesn't have to work hard most of the time,1 year ago,0,True,Contra
@barrbudo,There are times when talent doesn't have to work hard.,1 year ago,0,True,Contra
@dd_4321,Talent and Hard work and with Efficiency beats everything,1 year ago,0,True,Pro
@msgreybird,"Exactly! Haha, if talent gains discipline and commitment to something they are passionate about, they are unbeatable.",1 year ago,0,True,Pro
@Yoyoiooui," @JustinSung if ray Allen doesn’t believe in talent then why isn’t he Lebron James or Michael Jordan, obviously there is a cap to ur potential and some people just have a higher cap, u can work as hard as u can but if don’t genetically have what it takes to be the best u will never be the best no matter how ambitious or how big ur ego is",1 year ago,0,True,Contra
@GuyChooo,Which is why I wish I had talents.,1 year ago,0,True,Contra
@AsdrubaleRossi,I would say hard work beats talent when talent doesn't work at all,1 year ago,0,True,Pro
@Yoyoiooui," @AsdrubaleRossi  yes but when talent works the bare minimum with low effort, talent will beat hard work no matter how many hours are devoted.",1 year ago,0,True,Contra
@Gens-qe7si, @vikshi  how about talented person with hardwork ? Can beat reaply hardwork person easly,1 year ago,0,True,Pro
@JLMilly,"It kind of depends. Alot of people are not talented, but are more exposed to the subject at a younger age than the person in question. I think a lot of people confuse that factor for talent.",1 year ago,0,True,Contra
@km2slayer242," @vector-mu2pb  nope, talent can work hard but that hard work is shattered by the person who wasn’t gifted with talent but with work ethic",10 months ago,0,True,Pro
@superjnovaannularaurora9065, @Pain544  talent is nature while hard work is nurture.,10 months ago,0,True,Neutral
@ghstly1117, @vikshi  talent beats hard work when talent decides to work hard,9 months ago,0,True,Pro
@jusippppp," @vikshi  when you said ""when"" that's when you LOST",9 months ago,0,True,Contra
@jusippppp,talent doing minimal work beats hard work doing hard work ​ @ghstly1117 ,9 months ago,0,True,Contra
@Hahadailydosing,Depends on the level of talent,7 months ago,0,True,Neutral
@ConstantinDOSSOU-vy1zo, @jusippppp  it is ridiculous. Hard work and talent are just way to become good. Sometime the hardworker wins the other time the talented wins. It is ridiculous to say it is the same for every situation,5 months ago,0,True,Pro
@SHINDORA10,"What if talent works hard, then people like Issac Newton will come to the World. And as you know no one is able to beat Newton even Einstein.",1 month ago,0,True,Pro
@0doublezero0,Yes absolutely. Hard work is basically the precursor to smart work.  You don't start thinking outside the box unless you are being backed into a corner.,1 year ago,86,True,Pro
@Stahlwollvieh,"While this certainly would be the ideal I think a big reason why it often doesn't work out like this in practice is the fact that improving a system and making it more efficient tends to require even more effort short- to medium-term. And that is something you may not be able to afford if you're already barely scraping by.
Add the fact that people may not even have the knowledge to really improve their (let's say) study habits or even the awareness that this is in fact quite feasible and I would argue it comes as zero surprise that people get stuck in ""work hard, not smart"" loops.",1 year ago,14,True,Contra
@jahnvisingh8015,Commendable words,1 year ago,2,True,Pro
@Calcufast001,This is very brilliant... he is more of trying to question the status quo while using another conventional belief.,1 year ago,1,True,Neutral
@hernanmanfredi,This comment Is gold,1 year ago,1,True,Pro
@unclegardener,I think talent beats hard work even when talent doesn’t work hard.,1 year ago,2,True,Contra
@kchikwete,Nepotism/Connections>Luck >Talent >Social Skills>Hardwork,1 year ago,7,True,Contra
@formless4541," @0doublezero0  great comment. I'll borrow this one, I can relate to this",1 year ago,1,True,Pro
@0doublezero0," @formless4541  Absolutely, it took me med school to realize this.   When you realize there is only so many hours in the day to study, you have to be inventive about how you intake the information.",1 year ago,1,True,Pro
@jaetrnn6000,"I definitely agree. Top percentage in anything is always a combination of coaching (working smart), effort/drive/mindset, and talent.",1 year ago,0,True,Neutral
@ryant5979,"Well its all about the bell curve a persons success is all about his/her hardwork and genetics. The processes your talking about are your genetics. Iq and athletic performance are genetic, then the hardwork you put in enables u to hit your genetic potential.

Now to the kobe example he s already genetically gifted for basketball, the hardwork just gives him that boost.

Hardwork beats talent when talent doesnt work hard. Wherever a person is on the bell curve for that sport, job or education occupation, the hardwork will boost them to give them their best performance possible.

So my disagreement is that its not just simply working smarter or harder, its finding your genetic strengths educational field, sport, job anything something that u love doing as well and then putting in the hardwork.

If i do poorly at something your right to say its not just hardwork, but the processes wont do much as well if i have bad genetics for something, but if i have good genetics for something, i work hard and i love something i will go really far . Its hardwork and genetics!",1 year ago,0,True,Pro
@thalmoragent9344,"True. Looking to simplify something is you working harder/smarter, even if not in an overly physical manner.",1 year ago,0,True,Pro
@whyguyofficial,"You Just said what is going on in my head for week's, this is the conclusion my mind came up with but I'm also a Top G fan Depression isn't Real.
(Connections are building Now)
Everything Make Sense...",1 year ago,2,True,Pro
@thestoners2025,"hard work + smart work will go the longest way, isn't it obvious? thinking that smart work will replace hard work is a bit ignorant. smart work + your blood, sweat & tears put into it = excellence. there's no shortcut friends, in case you're looking for one",1 year ago,1,True,Pro
@lorenzozapaton4031,"The problem is that to work smart....you actually NEED to be smart. If not, you will default to hard work.

Hard work is not bad, but it's better to look for your strengths and develop them instead of doing a race against time (because it will take too much time and you won't get as good as a talented person that put the time).",1 year ago,0,True,Contra
@MR.K-x8i," @thestoners2025 the strongest combo there is

Imagine someone who work fuck hard and also work smart…always improving the method and increasing progress 

That’s guy growth rate will accelerate beyond any talent could ever be",6 months ago,0,True,Pro
@chicagoneurolife," @Calcufast001 I would argue that this statement actually addresses the point of working smarter. “Talent is just the natural ability for someone to intuitively use more optimal processes.” In other words, some folx are able to naturally come up with ways to make learning simpler and more effective for learning. This doesn’t mean they didn’t work hard.",5 months ago,0,True,Pro
@chicagoneurolife," @thestoners2025  No, “blood, sweat and tears” isn’t the best way to go. If one learns smart work, hard work alone is enough. You shouldn’t be putting “blood, sweat, and tears” into anything. We have to factor how the brain works and how it’s able to retain and recall. Overworking the brain works against you at some point not for you. So, the point of smart work, is that make Hard work more effective, to where suffering isn’t really necessary.",5 months ago,0,True,Pro
@chicagoneurolife," @MR.K-x8i No, that guy isn’t going to be performing the best. If anything, he’ll suffer more than he’ll excel. Smart work is beneficial because it’ll enable you to work only as hard as necessary. With practically anything there shouldn’t be any “blood, sweat, and tears”. Smart work is about making hard work more effective, but when it gets to the point of struggle “blood, sweat, and tears”, it’s no longer smart work. It’s purely hard work. The human brain simply doesn’t work that way.",5 months ago,0,True,Pro
@MR.K-x8i," @chicagoneurolife  It’s actually possible to put in maximum effort on the most effective route of progress

Hard work on top of smartwork is always going to be extra",5 months ago,0,True,Pro
@jsmarco2686,"I do think talent is like a unique mindset tho, like how he approached the thing, so the use of optimal processes is just a part of it",1 year ago,4,True,Neutral
@guilerso7796,"I never put that in words like that, but always thought talent as like ""that person just figures this out faster than the rest"". The definition he gave is incredible!",1 year ago,6,True,Pro
@user-en5vj6vr2u,"It’s not true tho. Talent in sports can come from your nervous system, musculoskeletal system, etc. This is straight genetics not “optimization.”",1 year ago,14,True,Contra
@bigbluebuttonman1137,It’s improvement-oriented work. My style of things.,1 year ago,2,True,Neutral
@rileygshep7606," @user-en5vj6vr2u if you are talking about sports, there is a reason why there is no other female swimmer who is as dominant as Katie Ledecky

22s ahead of 2nd place at the Olympics, if that isn’t talent on top of working very hard and very smartly, idk what is",1 year ago,3,True,Pro
@cynicalpenguin,"A lot of skills are learned in childhood. A child doesn't have the reasoning to figure out ""why"" they're untalented, they can fall years behind before they're able to work out how to become as successful as their peers, and especially when it comes to sport will never be able to catch up. He talks about how Kobe had a whole team behind him, but how did he get to that position in the first place.",1 year ago,2,True,Contra
@kiseijuu7420,"Not true, u cannot learn talent, then its not talent. Talent is when u didnt do anything to be good at something, but u are. If after hard working on a subject u becomes good at it, its just the result of ur work. 
U cannot be Mozart even if u work all ur life for it. U cannot be Messi or Ronaldo. Even if u work better and more than them. Cause they have something else, a different vision of life, of things, a different way of thinking, a different way to react, to feel, etc etc.",1 year ago,6,True,Contra
@chicagoneurolife," @kiseijuu7420 This isn’t true, Talent requires that one does the studying. You can be talented without actual work. Mozart became what he did was because he actually spent hours studying. That’s how he became good, the difference is that the way he worked enabled him to be quite efficient, on top of having a gifted father to train him from almost birth.",5 months ago,2,True,Pro
@djaygnus6996,"Ok, but put in another way. Against you. After all those effort, you Can do more than before. You are a better version of yourself.",1 year ago,21,True,Pro
@amoscookie1336,Hard working engineer usually becomes very good n become innovative. And develop something new that is not in the market. Talent is just getting grades better but they dun success as engineer n usually end up as mgmt executives.,1 year ago,17,True,Pro
@petertodorov5592,"this exact scenario ive been on both sides of. The reason people put less effort and succeed in studying is because they understand the essence of the material - which only happens if you grasp the fundamentals from lesson 1 and never break this ""chain"" (as my teachers call it). From then on you just need to listen in every class about only half the time ( because a big part of it is fluff to make understanding it easier ) and its smooth sailing. 

Another way is if they are interested in the subject and have already done personal projects that are more advanced than school material.

If you fall behind from the start the only real way ive found of catching up is by just asking. Ask someone who understands the material to explain it to you and you cheat the system by learning x10 faster. Usually the other person wont bother you and himself with details and will only explain the essence of the subject really well which is enough for you to be able to study the details on your own, or you just ask about the details aswell.

Edit: Now that i think about it my English teacher also showed us a video about ""Study smart not hard""
showing data and situations about how more time spent studying isnt effective  and only about the first 1-2 hours matter instead of grinding 10.",1 year ago,8,True,Neutral
@thunderp1719,"do you use to stay with them to see how much hard work they are doing?
You will feel same when you work on the field which  you get talent  of.
And may find your talented friends (u mentioned above) struggling like u",1 year ago,1,True,Neutral
@HyperDangerousThing,Engineering is more about experience than grades anyway lol,1 year ago,1,True,Neutral
@zirak21mistry, @kknn523  True,1 year ago,1,True,Pro
@deepaksingla2693,I don't even able to do the units and dimensions in the whole day the easiest chapter and then I just do the whole physics of my 11th grade with the math and chemistry and was scoring 50/50 in the test of physics and what it takes was 12 hour of constant study for 4 months.  To achieve this.,1 year ago,0,True,Pro
@PeacefulPhoenix-io1uq," @zirak21mistry  ALL U R FOOL, HE IS TALENTED BY USING SOME SPECIFIC TECHINCS OR CONVERTING HIS GOD GIVEN TALENT INTO DESIRED TALENT😄",3 months ago,1,True,Contra
@whatsnew955,truly inspiring words！！🤙🏻👏🏻,1 year ago,0,True,Pro
@laxmiprasanna4092,"Ya. Completely agreed. It's like working really hard and determined to walk from one city to other. The right thing would be to take a cab or some other transport. 😅

In this way you will not work hard but get to that destination in much efficient way",1 year ago,26,True,Pro
@passionatechaserstudy745,​ @JustinSung ❤,1 year ago,5,True,Pro
@flamethekid,"doing the right thing and having the opportunity to do the right thing.

there is an Einstein tending to a rice field somewhere in vietnam or africa somewhere that will go nowhere in life.",1 year ago,2,True,Contra
@Jay-nq9us, @kenyatherain  yaa.,1 year ago,1,True,Pro
@szymonbaranowski8184,"we are shaped by environment
on top of inborn abilities
shaped by what we eat what our parents did to themselves and us early on 

they see natural differences and get scared
instead of learning how they are created and choosing all things that narrow gap while stopping caring about whats permanent

some look for excuse to normalize own failures 
some get crazy over escaping failures working like horses until dying exhausted

second are more successful but loose life because of posttrauma radicalism and constant stress 
both fool themselves never trying to be themselves and doing things for themselves

we are often primed by things we didn't even remember but it doesn't mean we should accept it and not find better way for ourselves",1 year ago,12,True,Neutral
@jaehparrk,"no need to complicate it when it's really simple. People think they can beat 1000s of years of superior DNA gift, with few years of ""hard work"" lol!!!",1 year ago,6,True,Contra
@aigoated,"​ @batkorub Everyone is gifted and has a different area of expertise. However it is possible to outperform others who had a headstart and are labeled as gifted. Although, I agree that there are limitations when you reach the highest level possible but most people use the word blindly. Therefore using the excuse that people are gifted as an excuse to not improve is unacceptable. Unless you have truly made an attempt to surpass someone using smart strategies. I say this because I am highly competitive and outperformed people who were talented simply by watching tutorials and developing muscle memory on whatever I was trying to learn. And unless people saw my journey as I struggled, they would call me gifted as well. But when the gifted person is beat, and the other gifted person who beat the gifted person was also beat, you start to realize that people simply use that word whenever there's someone who is knowledgeable at what they're doing. Basically it is hard to distinguish when someone is gifted unless you have a lengthy background check and they are performing at the highest level where hard from a non gifted person cannot outperform them.",1 year ago,0,True,Pro
@MrClassicmetal,"​ @batkorub I agree with that.  Those are the people who downplay the role of genetics.  It's simply a fact that certain individuals are born with abilities that the average person won't attain no matter what.

Of course this doesn't mean that you can't improve yourself  with training and dedication.",1 year ago,2,True,Neutral
@erigor11,Great. This one is an intelligent text. Accurate as well.,1 year ago,0,True,Pro
@jorgesousa6683,Brilliant comment. This is also my understanding of it.,1 year ago,0,True,Pro
@kalyasaify,PERFECTLY put into words,1 year ago,0,True,Pro
@jaehparrk,"no need to try, do something else. People think they can beat 1000s of years of superior gifted DNA, with few years of ""hard work"" lol!!! Natural talent>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> ""hard work"" lololol",1 year ago,1,True,Contra
@sagnikmishra7147,"​ @jaehparrk By your logic, Children of every successful mathematician should be a successful mathematician, ar children of a grandmaster should be naturally good at chess, which is almost never the case. There are n no of facts which determines how successful a person would be.And I have noticed more often than not the way of working is wayyyyy more important than working long hours.",1 year ago,5,True,Pro
@elisehalflight,"Totally agree, people in this comment section are treating hard work like it is just mindlessly doing something over and over, when in truth hard work is just part of developing any skill.",1 year ago,28,True,Pro
@Game-ne5nb,thats not hard work lol thats perseverence,11 months ago,2,True,Neutral
@DjeMeow," @armanigenes  My elementary teacher doubted me, so I made sure she was wrong. I became a physicist, I got a bachelors and masters degree in mathematics, physics, chemistry, electrical engineering and aerospace engineering. I built rockets, I built up 5 companies with a net worth of 1 billion. I am now a billionaire with 10 degrees and a PhD. All before the age of 26, and now I am retired. I sure proved my elementary teacher wrong",6 months ago,2,True,Pro
@KingJL25, @0_0...  yep,1 year ago,2,True,Pro
@nivelmamun6378,"I keenly acknowledge your proposition. I have wasted thousands of hours from my invaluable adolescence and youth period believing in the myth of ""If you work hard, you will be successful"" or ""Hard work pays off"". Now I despicably regret for that toiling days, for they are now irreversible to be rectified.

My family, society, school, college, university all of them said me to work hard. But none of them taught me how to work hard efficiently, so that today or tomorrow I get the result hand in hand.

I personally thank you, Dr. Justin Sung, for you have helped me realize the joy of learning. Not only that, I can retain whatever I learn for long time ever since I have discovered my potentiality through your videos.",1 year ago,0,False,Contra
@hellogoodbye4743,"I loved this. I played field hockey in high school and was always the top scorer every season, always the fastest, always a starter and played the entire game. 

We got a new coach who decided that they didn't like me, so they benched me the entire season. She would constantly say ""hard work beats talent"" to the team and look at me every time she said it. 

Most girls would join expensive off season camps, my family could not afford to sign me up.

The perception was that I didn't care enough to attend those camps and that I would just show up with the skill level I had, but what no one knew was that while they spent thousands of dollars attending camps and not progressing, I was in my backyard running sprints, going to the gym to get stronger, teaching myself new tricks to use and envisioning myself using my skills on the field. I would run with cross country in the summer to improve my speed and agility. 

No one saw that and of course I  wasn't going to explain. 

This was over 10 years ago and her statement still haunts me. Thanks for this video, I can now have a little more faith in myself especially now knowing that my teenage brain was right to question the validity of ""hard work beats talent.""",1 year ago,18,False,Pro
@AnnaChin23,Thank you for helping people grow in the kindest way.,this month,0,False,Neutral
@ChillingD-k8b,"It's essential to recognize that both hard work and talent have their places in the journey to success. Talent might open doors, but hard work and a growth mindset are often the keys to keeping those doors open and achieving long-term goals. This video offers valuable insights into this complex and ongoing discussion.",1 year ago,4,False,Neutral
@olivergreen1520,You’re rewarded for how well you do. Not how hard you work,1 year ago,3,False,Contra
@teenasahu5387,"""Talent is simply just the natural ability for someone to intuitively use more optimal processes"". Such a powerful observation you have made!! 🙌",1 year ago,1,False,Contra
@alternull,"In my opinion talent is when someone has more context to a certain topic/subject and so they have an upper hand against someone who started from knowing absolutely nothing. The topic/subject is going to be more intuitive to the ""talented"" person. Talent is something that can be practiced and learned over time not something you're born with. It's all dependent on past experiences and chance encounters.",1 year ago,18,False,Contra
@BennyHill-q3x,Amazing somebody actually speaks the reality about talent. No hard work cannot beat talent.,1 year ago,1,False,Contra
@sukanyamukherjee2400,"I found my places to put effort in...would like if any suggestions are given on these-
1.Observe the exam times of the tuitions(These are held in one or two weeks of gap and 1,2,3 or more subjects and chapters based)
2.Make a schedule that is likely to match my exam times.
3.Try to improve my remembering asset(by improving memory I am going to take less time to revise it) 
4.Increase focus
5.Learn deep-Connect everyday what I learn into a big framework for each chapters.",1 year ago,5,False,Pro
@philipdavis7521,"Very interesting.  Intuitively, I think this is exactly correct.  I've seen people do exceptionally well despite not being obviously smarter than others, or working so hard.  It could of course be that they are simply naturally talented in a narrow way in what they do, but its far more likely that its all about study technique.  I'm in my 50's so beyond being able to use Dr. Sungs techniques (although I've found them very insightful for my language learning), but looking back I can see that the things I was 'naturally talented' at in years past was more due to accidentally hitting on a good method for taking in and using information (for example, I loved speed reading books as a student, but I was never good at concentrated study - so I was much better at 'generalist' knowledge subjects like history and geography than those that needed specific knowledge like biology).  It is amazing really that I managed to go through school and college and post-grad without ever giving the slightest thought to 'how' rather than 'how much' I was studying.  Oh well.",1 year ago,10,False,Pro
@Don-kw6nu,"Hard work doesn't beat talent, smart work beats talent",1 year ago,80,False,Contra
@Bleeksan0,We all have those coworkers who remember everything and just tell people to study more. I’m thinking dude I study twice as much as you do and I still can’t compete with you. I’m so sick of that feeling. I might have to sign up for Justin’s course ❤,1 year ago,16,False,Contra
@sreelalnt8342,"It doesn't matter how much hours you study ,but it does matter what you study in a limited amount of time😊  ,if you are studying for competitive exams ,look at the previous years questions and answers ,know how the questions are constructed ,get help from those who have cracked this exam,and attempt the question in the given time ,and know the overall subject ,that's it 😊❤, 
 And talent is called smart work.",1 year ago,48,False,Pro
@carloswalker223,Thank you Justin.  I've been trying hard Not to step back and accept the short-term loss. Thanks for the clarity.,1 year ago,0,False,Pro
@TaroLoaf,"This is true. I worked my ass off at my last job. We were even understaffed and I was constantly given my cohorts responsibilities. I also tried to achieve all the standards and go by the book.

I got burnt out really bad and my performance really suffered.

My other coworkers  who were quiet quitting/calling out for mental health days ended up getting promoted and raises",1 year ago,12,False,Contra
@waterflowzz,I want to add that refining the “process” of what you’re learning can cause you to learn slower in the beginning but once you set that process up it will not only help you learn faster but deepen your learning. I think that’s what most people don’t understand. The “faster” you learn the more you’re just relying on memorization and regurgitation. You can ask what does this have to do with work? It has everything to do with work because how deeply you learn something can help refine the ways in which you have to perform that work and make more efficient processes to do that work.,1 year ago,3,False,Pro
@loricooper2729,"Thank you, for this  information...my take away.... is to not beat ourselves up when we fail... and to look at this as a learning experience to understand why we fail and improve on that... Which will be putting into action the changes we have learned... It may seem a bit  slower but in the long run....It will be a more effective outcome...which could lead to the success we all are searching for...😊",1 year ago,0,False,Neutral
@aljongreat1900,Hard work might not beat talented people but its the only way for ordinary people to stand a chance. Plus hard work is never a waste of time and effort. You might not beat some people but u will definitely improve with hard work and it works 100%,1 year ago,21,False,Pro
@htchamber2776,"That’s a lot of politics should have brought it up to the principal or other coaches, if you really were as good as you say you were you could have gotten around this",1 year ago,1,True,Pro
@0doublezero0,My bet is that the video will be on working smart rather than hard. 😉,1 year ago,8,True,Contra
@rothlemorgan144,Nothing beats both,1 year ago,8,True,Neutral
@abdullahtayyab3344,But what if talent starts to put in work with the right strategies then he becomes a beast like Messi perhaps.,1 year ago,6,True,Pro
@Kaminomenom,​ @abdullahtayyab3344 it's more like smart work can beat talent. Doesn't mean it will beat it 100% of the time,1 year ago,3,True,Neutral
@jaehparrk,"nah blame your parents. People think they can beat 1000s of years of superior gifted DNA, with few years of ""hard work"" lol!!!",1 year ago,2,True,Contra
@نونيم-ي4ح,"I want to add a solution 3 this is something i have learned from martial arts and learning another language and that is surround yourself around the right people and community who will provide the proper feedback and its better if they are around irl rather than online, i cant stress this enough its not just them giving the feedback but when you also give feedback it will cement whatever you are trying to do or learn and the best part about it is that it will make the process even more fun since you are growing together.",1 year ago,2,False,Neutral
